n,nsamp,error
16,4,0.1875
16,4,0.125
16,4,0.125
16,4,0.0625
16,4,0.125
16,4,0.125
16,4,0
16,4,0.1875
32,4,0.15625
32,4,0.09375
32,4,0
32,4,0.125
32,4,0.0625
32,4,0.0625
32,4,0.09375
32,4,0.125
32,4,0.03125
32,4,0.0625
32,4,0.15625
32,4,0
32,4,0.03125
32,4,0.03125
32,4,0.0625
32,4,0.0625
32,4,0.125
32,4,0.15625
32,4,0
32,4,0
32,4,0.03125
32,4,0.25
32,4,0.0625
32,4,0.03125
32,4,0.375
32,4,0.0625
32,4,0.03125
32,4,0
32,4,0.15625
32,4,0.03125
32,4,0.03125
32,4,0.0625
32,4,0.25
32,4,0.09375
32,4,0.03125
32,4,0.03125
32,4,0.0625
32,4,0.09375
32,4,0.09375
32,4,0
32,4,0
32,4,0.0625
32,4,0
32,4,0.28125
32,4,0.15625
32,4,0
32,4,0
32,4,0.0625
32,4,0.28125
32,4,0.03125
64,4,0.046875
64,4,0.09375
64,4,0.046875
64,4,0.015625
64,4,0.078125
64,4,0.171875
64,4,0.015625
64,4,0
64,4,0.03125
64,4,0.015625
64,4,0
64,4,0.046875
64,4,0
64,4,0.03125
64,4,0.03125
64,4,0.015625
64,4,0.078125
64,4,0.015625
64,4,0
64,4,0
64,4,0.21875
64,4,0
64,4,0.03125
64,4,0
64,4,0.015625
64,4,0.078125
64,4,0
64,4,0.03125
64,4,0.125
64,4,0
64,4,0
64,4,0.03125
64,4,0
64,4,0
64,4,0
64,4,0
64,4,0
64,4,0
64,4,0.109375
64,4,0.015625
64,4,0
64,4,0
64,4,0.03125
64,4,0
64,4,0.015625
64,4,0.015625
64,4,0
64,4,0.015625
64,4,0
64,4,0.03125
128,4,0
128,4,0.1171875
128,4,0
128,4,0
128,4,0
128,4,0
128,4,0.0703125
128,4,0.015625
128,4,0.03125
128,4,0.0078125
128,4,0.015625
128,4,0
128,4,0
128,4,0
128,4,0
128,4,0
128,4,0
128,4,0.0390625
128,4,0.015625
128,4,0.03125
128,4,0.0703125
128,4,0.125
128,4,0
128,4,0
128,4,0
128,4,0.0625
128,4,0.03125
128,4,0
128,4,0
128,4,0.046875
128,4,0
128,4,0
128,4,0
128,4,0.0390625
128,4,0
128,4,0
128,4,0.078125
128,4,0.0390625
128,4,0
128,4,0.015625
128,4,0
128,4,0.0546875
128,4,0
128,4,0
128,4,0
128,4,0
128,4,0
128,4,0
128,4,0
128,4,0
256,4,0.02734375
256,4,0
256,4,0
256,4,0
256,4,0
256,4,0.00390625
256,4,0
256,4,0
256,4,0.00390625
256,4,0
256,4,0
256,4,0
256,4,0.0234375
256,4,0
256,4,0
256,4,0
256,4,0
256,4,0.03515625
256,4,0
256,4,0
256,4,0
256,4,0.0078125
256,4,0
256,4,0.01953125
256,4,0.015625
256,4,0
256,4,0
256,4,0
256,4,0
256,4,0
256,4,0
256,4,0
256,4,0.0390625
256,4,0
256,4,0
256,4,0
256,4,0
256,4,0
256,4,0.01953125
256,4,0
256,4,0
256,4,0.03515625
256,4,0.04296875
256,4,0.0390625
256,4,0
256,4,0.109375
256,4,0
256,4,0
256,4,0.01953125
256,4,0
512,4,0
512,4,0.021484375
512,4,0.013671875
512,4,0
512,4,0
512,4,0
512,4,0
512,4,0
512,4,0
512,4,0
512,4,0
512,4,0
512,4,0
512,4,0
512,4,0
512,4,0.060546875
512,4,0.01171875
512,4,0
512,4,0
512,4,0
512,4,0
512,4,0
512,4,0
512,4,0
512,4,0
512,4,0
512,4,0
512,4,0
512,4,0.01171875
512,4,0
512,4,0
512,4,0
512,4,0
512,4,0
512,4,0
512,4,0
512,4,0
512,4,0
512,4,0
512,4,0
512,4,0
512,4,0
512,4,0
512,4,0
512,4,0
512,4,0
512,4,0
512,4,0
512,4,0
512,4,0
1024,4,0
1024,4,0
1024,4,0
1024,4,0.013671875
1024,4,0
1024,4,0
1024,4,0
1024,4,0
1024,4,0
1024,4,0
1024,4,0
1024,4,0
1024,4,0
1024,4,0
1024,4,0.015625
1024,4,0
1024,4,0.02734375
1024,4,0.0146484375
1024,4,0
1024,4,0
1024,4,0
1024,4,0
1024,4,0
1024,4,0
1024,4,0
1024,4,0
1024,4,0
1024,4,0
1024,4,0
1024,4,0
1024,4,0
