n,nsamp,error.rate,error.count,loss,p121,p122,p131,p132,p221,p222,p231,p232
512,0,0.091796875,47,1.1922971548409178,-0.7457684038519117,0.7020692331131785,-0.6637749921542955,-0.7541469680090613,-0.7123748368141732,-0.7769337949005338,-0.72985132602243,0.8064466463809393
512,0,0.099609375,51,1.3589256016522304,-0.7216287783562605,0.7502241816850755,-0.6864489514138207,-0.7280361030264973,-0.6705246515179428,-0.7329933497720735,-0.6988061345136652,0.7160328980756665
512,0,0.111328125,57,1.278676462696315,-0.6958550900558591,-0.7672013127067315,-0.7250332638536269,0.7364303012255431,-0.6899379255528155,0.7177051054249884,-0.6790765175040009,-0.7667432533954963
512,0,0.091796875,47,1.180451178620605,-0.7109580419680998,0.7514631232972243,-0.7117753510949625,-0.7471992356457107,-0.7154610827196926,-0.7293387009224664,-0.6875411489489096,0.7890449743952156
512,0,0.083984375,43,1.132348202130432,-0.7018057058786559,0.7330864163704649,-0.7046133995427197,-0.7271607077514403,-0.6933860150912832,-0.7415762418280332,-0.7089816691766399,0.774394858149649
512,0,0.08984375,46,1.2059374151050193,-0.6961076396275023,0.7021949449205102,-0.7011801170816957,-0.7607727279930308,-0.7307004982418642,-0.7281314289973094,-0.6925269897620746,0.7184848348874039
512,0,0.1015625,52,1.386050547747476,-0.789521064822351,0.7170409107096096,-0.6697374283920798,-0.8485244457981367,-0.6514602058603134,-0.7803679160930485,-0.7342660679646623,0.740764193478843
512,0,0.345703125,177,2.476584573069591,-0.692786824761369,0.6358993366321116,-0.7191517176621941,-0.7299470450417178,-1.422611715514216,1.3675892746595837,-0.24080428120807465,-0.36051447447018015
512,0,0.31640625,162,2.2307855812056077,-0.721650805666437,-0.663412538799972,-0.739835990775292,0.7049727832276862,-1.3968052356497949,-1.416393360785251,-0.29964650320046465,0.3089126157268902
512,0,0.087890625,45,1.139967387045152,-0.7770796028031662,0.7074681279502367,-0.6604644295573245,-0.7511120497706711,-0.644002641961556,-0.8078708735041739,-0.7283045268394736,0.7170905154090008
512,0,0.443359375,227,2.746438981930399,-1.2042780102127926,0.6133218036519714,-0.2091489948484155,-0.3079557579728133,-1.022960149450368,1.5175730933644498,-0.5597474508431578,-0.8054317127002187
512,0,0.328125,168,2.326611229563289,1.597858228532947,1.2563395030771798,0.21666061404071707,-0.3245909467033479,0.6401869699421163,0.727017107003813,0.6828222843581555,-0.7743858363018571
512,0,0.349609375,179,1.886023565225987,-0.9989385017776748,-1.3831922601247224,-0.6070146417836475,0.7656909870897323,-0.898428880910288,0.6613041805008951,-0.4101269948489225,-0.36072055076821485
512,0,0.08984375,46,1.0688026059605886,0.7200477124463703,-0.7340107239752625,0.6818441033834081,0.8048814791572007,0.694994608191241,0.7511424524877989,0.7204578917183309,-0.6763532341054259
512,0,0.279296875,143,2.337366918133766,-1.5792496576803698,1.3111175447891443,-0.19631164904769535,-0.30798731618734043,-0.6041967066121035,0.7689394651454429,-0.7046375899626666,-0.7137989140756652
