n,nsamp,error.rate,error.count
128,6,0.1875,24
128,6,0.2109375,27
128,6,0.1953125,25
128,6,0.421875,54
128,6,0.171875,22
128,6,0.2421875,31
128,6,0.2734375,35
128,6,0.2109375,27
128,6,0.2734375,35
128,6,0.28125,36
128,6,0.171875,22
128,6,0.3203125,41
128,6,0.4375,56
128,6,0.1796875,23
128,6,0.34375,44
128,6,0.3203125,41
128,6,0.375,48
128,6,0.3125,40
128,6,0.2734375,35
128,6,0.46875,60
128,6,0.28125,36
128,6,0.25,32
128,6,0.40625,52
2048,8,0.0537109375,110
2048,8,0.0322265625,66
2048,8,0.0400390625,82
2048,8,0.03515625,72
2048,8,0.04833984375,99
2048,8,0.0458984375,94
2048,8,0.0517578125,106
2048,8,0.04248046875,87
2048,8,0.04248046875,87
2048,8,0.03955078125,81
2048,8,0.04638671875,95
2048,8,0.03857421875,79
2048,8,0.03662109375,75
2048,8,0.0478515625,98
2048,8,0.03076171875,63
2048,8,0.0419921875,86
2048,8,0.05126953125,105
2048,8,0.04296875,88
2048,8,0.0419921875,86
2048,8,0.04052734375,83
2048,8,0.04345703125,89
2048,8,0.04833984375,99
2048,8,0.041015625,84
2048,8,0.04248046875,87
2048,8,0.0419921875,86
2048,8,0.0419921875,86
2048,8,0.04052734375,83
2048,8,0.04638671875,95
2048,8,0.0419921875,86
2048,8,0.048828125,100
2048,8,0.03564453125,73
2048,8,0.048828125,100
1024,8,0.0556640625,57
1024,8,0.0703125,72
1024,8,0.064453125,66
1024,8,0.060546875,62
1024,8,0.0595703125,61
1024,8,0.056640625,58
1024,8,0.05859375,60
1024,8,0.0673828125,69
1024,8,0.0478515625,49
1024,8,0.0634765625,65
1024,8,0.08203125,84
1024,8,0.0703125,72
1024,8,0.0703125,72
1024,8,0.05078125,52
1024,8,0.35546875,364
1024,8,0.0546875,56
1024,8,0.0537109375,55
1024,8,0.0625,64
1024,8,0.0751953125,77
1024,8,0.0517578125,53
1024,8,0.0673828125,69
1024,8,0.076171875,78
1024,8,0.0556640625,57
1024,8,0.056640625,58
1024,8,0.0654296875,67
1024,8,0.23046875,236
1024,8,0.0712890625,73
1024,8,0.0546875,56
1024,8,0.0458984375,47
1024,8,0.0537109375,55
1024,8,0.072265625,74
1024,8,0.0654296875,67
512,8,0.10546875,54
512,8,0.2890625,148
512,8,0.099609375,51
512,8,0.099609375,51
512,8,0.091796875,47
512,8,0.099609375,51
512,8,0.1171875,60
512,8,0.083984375,43
512,8,0.37890625,194
512,8,0.111328125,57
512,8,0.123046875,63
512,8,0.083984375,43
512,8,0.115234375,59
512,8,0.087890625,45
512,8,0.103515625,53
512,8,0.08203125,42
512,8,0.298828125,153
512,8,0.1171875,60
512,8,0.095703125,49
512,8,0.091796875,47
512,8,0.0859375,44
512,8,0.08203125,42
512,8,0.078125,40
512,8,0.369140625,189
512,8,0.087890625,45
512,8,0.1015625,52
512,8,0.1171875,60
512,8,0.08984375,46
512,8,0.09375,48
512,8,0.087890625,45
512,8,0.095703125,49
256,8,0.15625,40
256,8,0.1796875,46
256,8,0.14453125,37
256,8,0.1171875,30
256,8,0.15234375,39
256,8,0.1953125,50
256,8,0.15234375,39
256,8,0.15234375,39
256,8,0.3359375,86
256,8,0.1796875,46
256,8,0.2109375,54
256,8,0.3203125,82
256,8,0.1328125,34
256,8,0.1484375,38
256,8,0.17578125,45
